"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000000012","024182025064","","","","soy milk edensoy unsweetened 32oz eden","11","$31.46","$2.86","$4.89","41.51%"
"210000000016","024182025057","","","","soy milk edensoy original 32oz eden","16","$50.88","$3.18","$5.29","39.89%"
"210000000046","076950450080","","yogi","","detox tea OG yogi","7","$24.04","$3.43","$5.39","36.28%"
"210000000048","076950415331","","yogi","","chai rooibos tea 16 bags yogi caffeine free","5","$14.40","$2.88","$5.39","46.57%"
"210000000052","076950450172","","yogi","","lemon ginger tea  OG 16 bags yogi caffeine free","1","$3.41","$3.41","$5.39","36.73%"
"210000000054","076950450011","","yogi","","bedtime tea 16 bags yogi caffeine free","7","$23.87","$3.41","$5.39","36.73%"
"210000000056","076950450233","","yogi","","detox peach tea 16 bags yogi caffeine free","1","$3.46","$3.46","$5.39","35.81%"
"210000000058","076950450462","","yogi","","chamomile tea 16 bags yogi caffeine free","3","$10.29","$3.43","$5.39","36.36%"
"210000000237","024182181371","","eden","","green tea sencha 16 bags","8","$32.80","$4.10","$6.39","35.84%"
"210000000239","047445919511","","choiceenbr","","english breakfast tea choice","2","$6.92","$3.46","$4.85","28.66%"
"210000000259","024182181203","","eden","","kukicha tea OG 16ct eden","19","$88.92","$4.68","$7.29","35.8%"
"210000000305","036192122169","","santacruzlim","","lime juice OG 16oz","2","$7.60","$3.80","$5.99","36.56%"
"210000000321","075502386679","","water","","mineral water sparkling 25.3oz gerolsteiner","12","$28.56","$2.38","$3.99","40.35%"
"210000000370","036192122213","","","","grape juice concord 32oz santa cruz","3","$13.92","$4.64","$7.69","39.66%"
"210000000390","026395831289","","lily of the desert","","aloe vera inner fillet juice pf OG 128oz","2","$32.90","$16.45","$27.99","41.23%"
"210000000392","042608470021","","lakewood","","cranberry pure juice OG 32oz lakewood","1","$10.93","$10.93","$15.99","31.64%"
"210000000396","042608470038","","lakewood","","cherry black juice pure OG 32oz lakewood","6","$43.56","$7.26","$11.99","39.45%"
"210000000416","042608459248","","lakewood","","papaya juice blend OG 32oz","7","$44.20","$6.31","$9.89","36.15%"
"210000003610","097467458215","","","","spirutein vanilla pkt 1.2oz nature's plus","18","$22.68","$1.26","$2.29","44.98%"
"210000003618","097467045804","","","","spirutein vanilla 1.09 lbs nature's plus","4","$29.88","$7.47","$25.99","71.26%"
"210000003622","097467045705","","","","spirutein chocolate 1.05lbs nature's plus","5","$71.90","$14.38","$26.99","46.72%"
"210000003626","097467458314","","","","spirutein chocolate pkt .99oz nature's plus","12","$15.12","$1.26","$2.49","49.4%"
"210000003634","097467045736","","","","spirutein strawberry 1.09 lbs nature's plus","3","$43.14","$14.38","$24.99","42.46%"
"210000003748","036192122251","","","","lemonade mango OG 32 oz santa cruz","2","$5.68","$2.84","$4.69","39.45%"
"210000003758","036192122473","","","","lemonade raspberry OG 32oz Santa Cruz","2","$4.22","$2.11","$3.99","47.12%"
"210000003796","042608125754","","lakewood","","lemon juice 12.5  lakewood","12","$42.60","$3.55","$5.89","39.73%"
"210000004870","076950450301","","yogi","","kava stress relief tea 16 bags yogi caffeine free","9","$30.69","$3.41","$5.39","36.73%"
"210000004878","032917000132","","traditional medicinals","","throat coat 16 tea bags traditional medicinals","2","$9.22","$4.61","$6.69","31.09%"
"210000004898","850049586245","","traditional medicinals","","mother's milk 16 tea bags","2","$7.94","$3.97","$5.99","33.72%"
"210000005630","076314306466","","","","Emergen-C pkt Super orange","10","$4.40","$0.44","$0.89","50.56%"
"210000006752","077208000330","","water","","water mountain valley spring 33.8oz/ liter","15","$31.80","$2.12","$3.89","45.5%"
"210000006870","097467458413","","","","spirutein strawberry 1.2oz pkt nature's plus","11","$13.86","$1.26","$2.29","44.98%"
"210000007588","076950450097","","yogi","","cold season tea 16 bags yogi caffeine free *discontinued","1","$2.88","$2.88","$5.39","46.57%"
"210000007664","026395830329","","lily of the desert","","aloe vera inner fillet juice pf 32oz glass lily of the desert","2","$10.18","$5.09","$10.29","50.53%"
"210000007668","026395400324","","lily of the desert","","aloe vera stomach pink label 32 oz","2","$22.46","$11.23","$18.99","40.86%"
"210000007985","008274000061","","reeds","","ginger brew original 12oz  bottle single reed's","33","$46.29","$1.40","$2.19","35.95%"
"210000008009","036192122893","","santa cruz white grape","","grape juice white 32oz","3","$12.39","$4.13","$6.99","40.92%"
"210000012358","008274000078","","reeds","","ginger brew extra single bottle reed's","48","$58.56","$1.22","$2.19","44.29%"
