"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000000078","044082522111","","","49862-6","Once Again Peanut Butter No Stir Crunchy Sweet (American Classic)","14","$70.08","$5.01","$9.69","48.34%"
"210000000080","044082522319","","","31673-7","Once Again Peanut Butter No Stir Creamy Sweet (American Classic)","7","$31.54","$4.51","$9.69","53.5%"
"210000000086","042272005116","","","97123-4","Amy's Chili","5","$20.20","$4.04","$6.29","35.77%"
"210000000094","042272005918","","","","Amy's Soup  Vegetable French Country","5","$19.35","$3.87","$5.99","35.39%"
"210000000100","042272005031","","","","Amy's Soup No Chicken Noodle","2","$7.40","$3.70","$5.79","36.1%"
"210000000128","074305030123","","","","Braggs Vinaigrette Dressing Org","4","$18.20","$4.55","$8.29","45.11%"
"210000000154","","","","","Frankferd Farms Flour  Vital Wheat Gluten 1#","2","$5.68","$2.84","$7.39","61.57%"
"210000000352","852749004395","","","","Divine Dark Chocolate Snack Bar","5","$7.55","$1.51","$2.39","36.82%"
"210000000522","042515435199","","","","Lewis Labs Brewer's Yeast Flakes","15","$207.89","$13.86","$23.99","42.23%"
"210000000538","039978008817","","039978018816","","Bob's Pancake Mix Buckwheat","5","$19.85","$3.97","$5.99","33.72%"
"210000000542","039978006424","","","039978116420","Bob's Sorghum Flour  GF","1","$3.75","$3.75","$5.79","35.23%"
"210000000550","039978043184","","039978113184","","Bob's Semolina Flour","4","$13.20","$3.30","$5.19","36.42%"
"210000000662","621683021252","","","","Tinkyada Brown Rice Spirals  org. GF 12oz","4","$15.12","$3.78","$5.79","34.72%"
"210000002304","043182008518","","","","Native Forest Pineapple Chunks 14oz","3","$12.63","$4.21","$6.49","35.13%"
"210000002308","043182008570","","","","Native Forest Tropical Fruit Salad 14oz","1","$3.59","$3.59","$4.50","20.22%"
"210000002380","077502016105","","","","Jyoti Delhi Saag 15oz","26","$79.04","$3.04","$4.79","36.53%"
"210000002388","077502146154","","","","Jyoti Punjabi-Chhole 15oz","6","$18.24","$3.04","$4.69","35.18%"
"210000002422","035742221017","","","","Health Valley Vegetable Soup 15oz Org NS GF","4","$14.56","$3.64","$5.59","34.88%"
"210000002446","024182002270","","","","Eden  Brown Rice &  Green Lentils","4","$9.68","$2.42","$3.69","34.42%"
"210000002454","042272005895","","","042272005895","Amy's Refried Beans Traditional Light Sodium","5","$17.10","$3.42","$5.39","36.55%"
"210000002540","052603289689","","pacific","","Pacific Chicken Broth 8oz LS","6","$8.14","$1.36","$2.19","38.05%"
"210000002552","043182000710","","","","Edward & Sons  Mashed Potatoes Garlic Org U","7","$15.34","$2.19","$3.69","40.61%"
"210000002600","089836157157","","","","Simply Organic Spinach Dip Mix","5","$5.90","$1.18","$1.79","34.08%"
"210000002612","073472002551","","","","Ezekiel 4:9 Cereal Org 16oz","7","$40.83","$5.83","$10.39","43.86%"
"210000002648","058449779018","","","","Nature's Path Mesa Sunrise Org Eco 26.4oz","3","$24.42","$8.14","$12.59","35.35%"
"210000002656","039978119193","","","","Bob's Yellow Corn Grits Polenta Org","3","$11.58","$3.86","$5.99","35.56%"
"210000002692","058449620013","","","","Nature's Path Puffs Rice  Org 6oz","4","$10.40","$2.60","$3.99","34.84%"
"210000002696","058449770213","","","","Nature's Path Heritage Flakes Org Eco","3","$27.90","$9.30","$14.29","34.92%"
"210000002700","041617002278","","","","Rumford Baking Powder Al-Free","9","$31.95","$3.55","$5.49","35.34%"
"210000002704","039978033918","","","","Bob's Baking Soda Al-Free","5","$13.50","$2.70","$4.19","35.56%"
"210000002708","651170001009","","","","Flavorganics Vanilla Extract Org 2oz","3","$14.19","$4.73","$9.39","49.63%"
"210000002712","651170001085","","","","Flavorganics Almond Extract OG 2oz","2","$6.92","$3.46","$6.89","49.78%"
"210000002716","651170001054","","","","Flavorganics Peppermint Extract Org 2oz","2","$8.90","$4.45","$6.79","34.46%"
"210000002720","651170001078","","","","Flavorganics Lemon extract 2oz","4","$14.83","$3.71","$7.49","50.5%"
"210000002834","022506137202","","","","Spectrum Canola Oil Org 32oz","3","$36.57","$12.19","$20.29","39.92%"
"210000002838","692752103575","","","","Nutiva Coconut Oil EV Org 14oz","1","$11.12","$11.12","$17.19","35.31%"
"210000002870","022506117402","","","","Spectrum Sunflower Oil Org 32oz","2","$26.12","$13.06","$20.19","35.31%"
"210000002882","024182000252","","eden","","Eden Sesame Oil","2","$23.10","$11.55","$15.99","27.77%"
"210000002898","075820000028","","","","Spike Vegit Seasoning 2oz","2","$3.76","$1.88","$2.99","37.12%"
"210000002902","075820000073","","","","Spike Salt Free Seasoning 2oz","5","$9.49","$1.90","$2.99","36.52%"
"210000002918","024182002126","","eden","","Eden Brown Mustard Org 9oz","8","$25.62","$3.20","$5.19","38.29%"
"210000003006","092325333529","","","","Annie's Goddess Dressing Org 8oz","6","$28.68","$4.78","$7.39","35.32%"
"210000003026","692752200052","","","","Nutiva Coconut Oil EV Org 54oz","2","$58.18","$29.09","$34.99","16.86%"
"210000003058","093709801016","","","","Pamela's Figgies & Jammies Mission Fig Cookies 9oz","5","$25.80","$5.16","$7.99","35.42%"
"210000003062","071879124913","","","","Jennie's Coconut Macaroons 8oz","5","$15.60","$3.12","$4.89","36.2%"
"210000003114","733739073204","","","","citric acid 4oz NOW FOODS","2","$5.98","$2.99","$5.99","50.08%"
"210000003116","019356551111","","","","Pomona's Pectin 1oz.","21","$102.27","$4.87","$7.49","34.98%"
"210000003146","078314212358","","","","Madhava's Agave Nectar Light 23.5oz","6","$26.40","$4.40","$9.59","54.12%"
"210000003150","078314111750","","","","Madhava's Agave Nectar  light 11.75 oz.","6","$21.42","$3.57","$5.49","34.97%"
"210000003216","073416001602","","","","Lundberg Brown Rice Syrup Org 21oz bb 8/25","1","$8.47","$8.47","$10.59","20.02%"
"210000003224","024182491159","","eden","","Eden Barley Malt Syrup OG 20oz","5","$35.50","$7.10","$10.99","35.4%"
"210000003226","074305001161","","","","Bragg Apple Cider Vinegar Org 16oz.","8","$26.96","$3.37","$5.29","36.29%"
"210000003272","813551002061","","","","Koyo Ramen Wakame Seaweed U","12","$10.56","$0.88","$1.79","50.84%"
"210000003374","716270001660","","","","Chocolove Ginger Crystallized in Dark Chocolate 3 oz","12","$37.32","$3.11","$4.79","35.07%"
"210000003376","716270001585","","","","Chocolove Chilies & Cherries in Dark Chocolate 3 oz","18","$55.98","$3.11","$4.79","35.07%"
"210000003814","044082032214","","","","Once Again Peanut Butter Salt Free Crunchy Unsweet","5","$22.75","$4.55","$8.69","47.64%"
"210000003816","044082530314","","","","Once Again Sunflower Seed Butter","11","$60.28","$5.48","$8.29","33.9%"
"210000003818","022506104174","","","","Spectrum Peanut Oil Org.","3","$31.47","$10.49","$16.29","35.6%"
"210000003824","089836188410","","","","Simply Organic French Onion Dip Mix","12","$20.64","$1.72","$2.69","36.06%"
"210000003834","074305001321","","","","Bragg Apple Cider Vinegar 32oz Org","5","$27.10","$5.42","$8.39","35.4%"
"210000003962","734027901452","","","","Ginger People Ginger Chews Box 4.5 oz","9","$36.00","$4.00","$6.19","35.38%"
"210000004032","733739024206","","","","brewer's yeast 1lb NOW FOODS","1","$7.64","$7.64","$16.99","55.03%"
"210000004344","012511446529","","","","Wholesome Sweeteners Sugar Dark Brown OG 24oz","7","$26.38","$3.77","$7.29","48.3%"
"210000004352","012511320041","","","","Wholesome Sweeteners Sugar Org. Powdered FT","2","$7.18","$3.59","$6.79","47.13%"
"210000004472","810165011953","","","","Yummy Earth Vit C Pops Org","4","$11.16","$2.79","$4.99","44.09%"
"210000004550","075172079468","","","","Panda Licorice Black Bag 7oz","4","$12.76","$3.19","$4.99","36.07%"
"210000004554","838455000203","","","","Primal Strips Mesquite Lime 1oz","20","$25.60","$1.28","$1.99","35.68%"
"210000004558","838455000029","","","","Primal Strips Hickory Smoked 1oz","12","$15.36","$1.28","$1.99","35.68%"
"210000004562","838455000197","","","","Primal Strips Thai Peanut 1oz","16","$20.48","$1.28","$1.99","35.68%"
"210000004566","838455000012","","","","Primal Strips Teriyaki 1oz","29","$37.12","$1.28","$1.99","35.68%"
"210000006216","722252161093","","","","Clif  Bar White Chocolate Macadamia Nut","5","$8.05","$1.61","$2.49","35.34%"
"210000006378","075820000004","","","","Spike Seasoning Original 3oz","2","$4.24","$2.12","$3.29","35.56%"
"210000006452","043182003575","","","","Let's Do Organic Sugar Cones 5oz","8","$27.44","$3.43","$5.29","35.16%"
"210000006456","043182003551","","","","Let's Do Organic Ice Cream Cones (Cake) 1.2oz bb 12/19/25","4","$10.00","$2.50","$3.20","21.88%"
"210000006588","074305020322","","","","Bragg's Olive Oil 32 oz Org","5","$100.40","$20.08","$33.99","40.92%"
"210000006598","074305011283","","","","Bragg Apple Cider Vinegar 1 Gallon Org","5","$87.50","$17.50","$26.99","35.16%"
"210000006618","042272005581","","","","Amy's Refried Black Beans Light Sodium","4","$13.77","$3.44","$5.39","36.13%"
"210000006756","716270001523","","","","Chocolove Cherries & Almonds in Dark Chocolate 3 oz","4","$12.44","$3.11","$4.79","35.07%"
"210000006764","716270001349","","","","Chocolove Toffee & Almonds in Milk Chocolate 3 oz","16","$54.08","$3.38","$5.39","37.29%"
"210000006924","757645021401","","","","Newman-O's Original Cookie 13oz","8","$35.98","$4.50","$7.19","37.45%"
"210000007122","043182002080","","","","Native Forest Coconut Milk Classic Org","5","$15.95","$3.19","$4.89","34.76%"
"210000007126","043182008549","","","","Native Forest Pineapple Crushed 14oz","8","$33.68","$4.21","$6.49","35.13%"
"210000007160","658334472828","","","","Roads End Shiitake Gravy Mix 1oz","9","$15.75","$1.75","$2.69","34.94%"
"210000007164","658334472811","","","","Roads End Golden Gravy Mix 1oz","14","$20.30","$1.45","$2.29","36.68%"
"210000007170","024182001150","","eden","","Eden Spaghetti Sauce No Salt","5","$33.15","$6.63","$9.29","28.63%"
"210000007182","024182002010","","eden","","Eden  Gomasio  3.5oz","2","$6.58","$3.29","$4.99","34.07%"
"210000007190","024182002003","","eden","","Eden Sea Salt Celtic 14oz","14","$72.44","$5.17","$7.99","35.24%"
"210000007225","034529123612","","","","Maine Coast Alaria","2","$14.42","$7.21","$11.19","35.57%"
"210000007229","034529123629","","","","Maine Coast Dulse OG 2oz","4","$27.80","$6.95","$12.99","46.5%"
"210000007241","034529123636","","","","Maine Coast Kelp/Kombu Org 2oz","6","$41.46","$6.91","$10.39","33.49%"
"210000007532","896859000366","","","046015167369","Organicville Original BBQ Sauce","3","$11.43","$3.81","$5.89","35.31%"
"210000007542","018788101093","","","","Real Salt Shaker 10oz","10","$45.92","$4.59","$7.29","37.01%"
"210000007554","018788102502","","","","Real Salt  Pouch 26oz","1","$8.61","$8.61","$13.29","35.21%"
"210000007558","018788801603","","","","Real Salt All Natural Sea Salt  Kosher16oz","5","$33.95","$6.79","$10.49","35.27%"
"210000007680","039978004628","","039978114624","","Bob's  Pancake Mix   GF","3","$15.15","$5.05","$7.79","35.17%"
"210000008131","890146001500","","","","Yum Earth  Drops Wild Peppermint Org","7","$21.98","$3.14","$4.89","35.79%"
"210000008135","075172079369","","","","Panda Licorice Bag Raspberry 7oz","4","$12.27","$3.07","$4.69","34.59%"
"210000008488","024182152739","","","","Eden Kombu","5","$40.15","$8.03","$12.99","38.18%"
"210000008492","024182157697","","eden","","Eden Sushi Nori 7 Sheets bb 9/7/25","1","$6.18","$6.18","$6.90","10.43%"
"210000008546","042272005864","","","","Amy's Soup Tomato Bisque LS","7","$25.90","$3.70","$5.69","34.97%"
"210000008576","638882002005","","","","Farmer's Market Organic Canned Pumpkin","11","$26.62","$2.42","$3.99","39.35%"
"210000008912","621683020156","","","","Tinkyada Spaghetti Org","6","$17.16","$2.86","$4.99","42.69%"
"210000008922","075810001257","","","","San-J  Tamari Gold Wheat-Free 10 oz","6","$29.16","$4.86","$7.49","35.11%"
"210000008924","075810001356","","","","San-j Tamari Gold 20 oz","2","$15.02","$7.51","$11.59","35.2%"
"210000008928","075810041352","","","","San-J Shoyu 20oz Org","2","$9.80","$4.90","$7.59","35.44%"
"210000008930","075810004258","","","","San-J Tamari Red Sodium 10 oz org","2","$9.52","$4.76","$7.89","39.67%"
"210000008932","075810004357","","","","San-J Tamari Red. Sod. 20 oz Org","5","$39.45","$7.89","$12.19","35.27%"
"210000008964","044082045412","","","","Once Again Tahini Org.","11","$60.58","$5.51","$11.49","52.07%"
"210000008968","044082032412","","","","Once Again Peanut Butter Salt Free Creamy Unsweet","7","$31.85","$4.55","$8.69","47.64%"
"210000008976","024182000481","","eden","","Eden  Mirin Cooking Wine","1","$12.08","$12.08","$14.19","14.87%"
"210000008978","799210115009","","","","Bionaturae Balsamic Vinegar Org 17oz U","6","$35.82","$5.97","$8.19","27.11%"
"210000008990","024182422160","","eden","","Eden Vinegar  Brown Rice Org 10 oz.","11","$44.55","$4.05","$7.39","45.2%"
"210000009008","074305000164","","","","Bragg Liquid Aminos 16oz","2","$8.26","$4.13","$6.39","35.37%"
"210000009014","074305000324","","","","Bragg  Liquid Aminos 32oz","6","$36.66","$6.11","$10.49","41.75%"
"210000009024","012511600006","","","","Wholesome Sweeteners Molasses 16 oz.","2","$7.42","$3.71","$6.99","46.92%"
"210000009028","012511700003","","","","Wholesome Sweeteners Molasses 32 oz.","2","$14.36","$7.18","$11.19","35.84%"
"210000009048","023254667904","","","","Hain  Salt Iodized","8","$18.80","$2.35","$3.69","36.31%"
"210000009058","651170001030","","","","Flavorganics Vanilla Extract 4oz.","4","$38.70","$9.68","$17.99","46.22%"
"210000009208","044082034218","","","","Once Again Almond Butter Crunchy Salt Free","10","$61.00","$6.10","$12.19","49.96%"
"210000009212","044082034416","","","","Once Again Almond Butter Creamy 16 oz","11","$76.40","$6.95","$12.29","43.49%"
"210000010152","716270001554","","","","Chocolove Almond & Sea Salt  3.2oz","14","$47.86","$3.42","$5.39","36.58%"
"210000010154","854183006027","","","","Explore Asian Mung Bean/Edamame Fettuccini","4","$17.84","$4.46","$6.89","35.27%"
"210000010332","894873002472","","","","Frankferd Farms Flour Chickpea 2#","3","$19.46","$6.49","$10.19","36.34%"
"210000010336","041570052785","","blue diamond","","Blue Diamond Almond Nut Thins w/Sea Salt Crackers","12","$45.72","$3.81","$5.89","35.31%"
"210000010348","716270051344","","","","Chocolove Mini Toffee & Almonds","12","$19.32","$1.61","$2.49","35.34%"
"210000010512","736210000393","","","","pumpkin jack o lantern seeds","5","$5.25","$1.05","$2.99","64.88%"
"210000010544","736210030413","","","","arugula rocket botanical Interests","5","$4.75","$0.95","$2.69","64.68%"
"210000010560","716270001547","","","","Chocolove Raspberries in Dark Chocolate 3.1 oz","4","$12.44","$3.11","$4.79","35.07%"
"210000010882","862281000038","","","","Wee Bee  Honey  Raw 16 oz","8","$62.36","$7.80","$12.39","37.09%"
"210000010944","089836184214","","","","Frontier Saffron Threads Glass Jar .50 gm frontier","3","$23.61","$7.87","$12.29","35.96%"
"210000011006","850403000059","","","","Namaste GF Waffle & Pancake Mix","5","$25.90","$5.18","$7.99","35.17%"
"210000011146","896859000595","","","046015165402","OrganicVille Pasta Sauce Marinara","4","$17.40","$4.35","$6.69","34.98%"
"210000011194","012511105006","","","","Wholesome Sweeteners Sucanat  1lb.","1","$3.37","$3.37","$4.99","32.46%"
"210000011308","067275000326","","","","Crofter's  Just Fruit Raspberry","4","$15.68","$3.92","$5.99","34.56%"
"210000011312","067275000319","","","","Crofter's Just Fruit Strawberry","11","$43.12","$3.92","$5.99","34.56%"
