"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000000732","602444000204","","","","Wyndmere Angelica Root 10mL 16","3","$22.44","$7.48","$13.89","46.15%"
"210000000740","609280000108","","WP0021","","Wally's Ear Oil 1 oz Organic","5","$30.63","$6.13","$9.99","38.68%"
"210000000752","602444001201","","","","Wyndmere Cajeput 10mL/.33oz 22","1","$4.90","$4.90","$8.99","45.49%"
"210000000760","602444001409","","","","Wyndmere Carrot Seed 10mL 16","1","$11.13","$11.13","$19.89","44.04%"
"210000000764","609280300024","","WP0013","","Wally's Natural Ear Candles 2 ct","5","$18.90","$3.78","$7.99","52.69%"
"210000000784","602444001607","","79% Mark-up","","Wyndmere Cedarwood 10mL 22","2","$7.18","$3.59","$6.39","43.82%"
"210000000788","602444002109","","","","Wyndmere Chamomile, Roman 10mL 22","1","$5.38","$5.38","$9.39","42.71%"
"210000000808","602444002208","","","","Wyndmere Chamomile (German) 10mL/.33oz 22","1","$7.24","$7.24","$12.69","42.95%"
"210000000816","602444002307","","","","Wyndmere Cinnamon Leaf 10 ml/.33oz 22","2","$7.42","$3.71","$6.79","45.36%"
"210000000820","602444002406","","","","Wyndmere Citronella 10mL/.33oz 22","2","$5.86","$2.93","$5.39","45.64%"
"210000000828","792850070998","","211675","","Burt's Bees Lemon Butter Cuticle Cream","3","$11.31","$3.77","$6.89","45.28%"
"210000000832","602444002505","","","","Wyndmere Clary Sage 10mL 23","2","$20.10","$10.05","$17.59","42.87%"
"210000000836","602444002604","","79% mark-up","","Wyndmere Clove Bud 10mL 22","5","$21.85","$4.37","$7.79","43.9%"
"210000000852","079565005522","","","","Light Mountain Color The Gray Mahogany","5","$29.64","$5.93","$11.39","47.95%"
"210000000856","077014100033","","LM0014","","Light Mountain Hair Color Red","6","$29.10","$4.85","$9.99","51.45%"
"210000000860","077014100088","","LM0018","","Light Mountain Henna Haircolor Black","2","$9.70","$4.85","$9.99","51.45%"
"210000000864","602444002901","","","","Wyndmere Cypress 10mL 23","3","$15.60","$5.20","$9.09","42.79%"
"210000000876","602444003601","","","","Wyndmere Frankincense Oil 22","2","$6.58","$3.29","$6.75","51.26%"
"210000000880","602444011217","","","","Wyndmere Frankincense & Myrrh Blend 10mL 23","5","$74.80","$14.96","$26.19","42.88%"
"210000000888","602444004202","","","","Wyndmere Grapefruit 22","1","$3.77","$3.77","$6.79","44.48%"
"210000000896","602444004103","","","","Wyndmere Essential Ginger Oil 10 ml 23","2","$13.16","$6.58","$11.49","42.73%"
"210000000960","602444003908","","","","Wyndmere Geranium 10ml/.33oz 22","3","$38.97","$12.99","$23.29","44.22%"
"210000000968","602444004707","","","","Wyndmere Jasmine 10mL 22","3","$31.59","$10.53","$19.19","45.13%"
"210000000984","602444005605","","","","Wyndmere Lemon Oil 22","6","$21.54","$3.59","$6.59","45.52%"
"210000000988","602444005209","","","","Wyndmere Lavender Essential Oil 10mL 22","4","$31.12","$7.78","$14.19","45.17%"
"210000000992","602444005001","","","","Wyndmere Juniper Berry 10mL","2","$18.86","$9.43","$16.49","42.81%"
"210000001016","602444006701","","","","Wyndmere Melissa ( Lemon Balm ) 10mL (Disc)","1","$8.92","$8.92","$15.59","42.78%"
"210000001020","602444005803","","","","Wyndmere Lime 10mL/.33oz 22","3","$10.59","$3.53","$6.29","43.88%"
"210000001024","602444007104","","","","Wyndmere Myrrh 10mL 23","7","$27.23","$3.89","$6.79","42.71%"
"210000001036","602444008101","","","","Wyndmere Patchouli 10mL 22","3","$23.88","$7.96","$14.49","45.07%"
"210000001040","602444007302","","","","Wyndmere Neroli 10mL 16","3","$23.88","$7.96","$13.29","40.11%"
"210000001044","602444007807","","","","Wyndmere Oregano Wild 10mL 16","2","$14.36","$7.18","$13.19","45.56%"
"210000001048","602444007609","","","","Wyndmere Orange 10mL 22","2","$4.90","$2.45","$4.39","44.19%"
"210000001076","602444009009","","","","Wyndmere Rose Otto 10mL 22","3","$35.91","$11.97","$21.69","44.81%"
"210000001080","602444008606","","","","Wyndmere Pine Needle Essential Oil 22","1","$3.53","$3.53","$6.39","44.76%"
"210000001084","602444009108","","","","Wyndmere Rosemary Oil 22","1","$3.59","$3.59","$6.59","45.52%"
"210000001088","602444006800","","","","Wyndmere Sandalwood 10mL  22","4","$55.08","$13.77","$24.59","44%"
"210000001104","602444009504","","","","Wyndmere Spearmint Essential Oil 10mL 22","2","$9.92","$4.96","$8.79","43.57%"
