UPC,Item Name,Department,Remaining,Sales Price
024182025064,soy milk edensoy unsweetened 32oz eden,Beverage,11,$4.89
024182025057,soy milk edensoy original 32oz eden,Beverage,16,$5.29
076950450080,detox tea OG yogi,Beverage,7,$5.39
076950415331,chai rooibos tea 16 bags yogi caffeine free,Beverage,5,$5.39
076950450172,lemon ginger tea  OG 16 bags yogi caffeine free,Beverage,1,$5.39
076950450011,bedtime tea 16 bags yogi caffeine free,Beverage,7,$5.39
076950450233,detox peach tea 16 bags yogi caffeine free,Beverage,1,$5.39
076950450462,chamomile tea 16 bags yogi caffeine free,Beverage,3,$5.39
024182181371,green tea sencha 16 bags,Beverage,8,$6.39
047445919511,english breakfast tea choice,Beverage,2,$4.85
024182181203,kukicha tea OG 16ct eden,Beverage,19,$7.29
036192122169,lime juice OG 16oz,Beverage,2,$5.99
075502386679,mineral water sparkling 25.3oz gerolsteiner,Beverage,12,$3.99
036192122213,grape juice concord 32oz santa cruz,Beverage,3,$7.69
026395831289,aloe vera inner fillet juice pf OG 128oz,Beverage,2,$27.99
042608470021,cranberry pure juice OG 32oz lakewood,Beverage,1,$15.99
042608470038,cherry black juice pure OG 32oz lakewood,Beverage,6,$11.99
042608459248,papaya juice blend OG 32oz,Beverage,7,$9.89
097467458215,spirutein vanilla pkt 1.2oz nature's plus,Beverage,18,$2.29
097467045804,spirutein vanilla 1.09 lbs nature's plus,Beverage,4,$25.99
097467045705,spirutein chocolate 1.05lbs nature's plus,Beverage,5,$26.99
097467458314,spirutein chocolate pkt .99oz nature's plus,Beverage,12,$2.49
097467045736,spirutein strawberry 1.09 lbs nature's plus,Beverage,3,$24.99
036192122251,lemonade mango OG 32 oz santa cruz,Beverage,2,$4.69
036192122473,lemonade raspberry OG 32oz Santa Cruz,Beverage,2,$3.99
042608125754,lemon juice 12.5  lakewood,Beverage,12,$5.89
076950450301,kava stress relief tea 16 bags yogi caffeine free,Beverage,9,$5.39
032917000132,throat coat 16 tea bags traditional medicinals,Beverage,2,$6.69
850049586245,mother's milk 16 tea bags,Beverage,2,$5.99
076314306466,Emergen-C pkt Super orange,Beverage,10,$0.89
077208000330,water mountain valley spring 33.8oz/ liter,Beverage,15,$3.89
097467458413,spirutein strawberry 1.2oz pkt nature's plus,Beverage,11,$2.29
076950450097,cold season tea 16 bags yogi caffeine free *discontinued,Beverage,1,$5.39
026395830329,aloe vera inner fillet juice pf 32oz glass lily of the desert,Beverage,2,$10.29
026395400324,aloe vera stomach pink label 32 oz,Beverage,2,$18.99
008274000061,ginger brew original 12oz  bottle single reed's,Beverage,33,$2.19
036192122893,grape juice white 32oz,Beverage,3,$6.99
008274000078,ginger brew extra single bottle reed's,Beverage,48,$2.19
722430200163,kombucha gingerade 16oz gt's,Beverage,14,$4.69
074682118377,pear sparkling juice OG 25.4oz,Beverage,5,$4.99
026395840328,aloe vera whole leaf juice pf 32oz glass lily of the desert,Beverage,1,$10.29
697658202018,fiber hemp OG 16 oz. Manitoba,Beverage,2,$13.99
024182000702,cherry juice tart eden 32oz,Beverage,10,$16.99
026395401321,aloe vera detox green label 32oz,Beverage,1,$18.99
795239401109,teeccino french roast 10bags,Beverage,1,$6.49
733739042323,ojibwa tea 24 bags NOW FOODS,Beverage,2,$5.99
707082100320,chai  tea latte original 32oz oregon chai,Beverage,7,$6.79
853883003008,coconut water 17.5oz c2o,Beverage,6,$3.59
042608470106,aloe whole leaf juice OG 32 oz Lakewood,Beverage,9,$9.99
042608459460,orange juice OG 32 oz lakewood,Beverage,5,$9.99
744473912353,So Delicious coconut milk unsweetened original,Beverage,5,$4.39
076950450417,green tea pure decaf 16 bags yogi,Beverage,9,$5.39
090341121212,root beer single bottle virgil's,Beverage,68,$2.19
812475012255,alo allure mangosteen & mango 16.9oz,Beverage,12,$2.99
608883000010,water alkaline 1.5 L eternal,Beverage,6,$3.29
052603066037,hemp milk unsw orig 32oz,Beverage,5,$6.49
042608459279,orange carrot  OG 32 oz lakewood,Beverage,3,$9.99
042608459750,grapefruit pink juice OG 32oz lakewood,Beverage,3,$9.79
047445919719,earl grey tea OG 16 bags Choice,Beverage,1,$4.85
042608459439,apple juice OG 32oz,Beverage,3,$7.99
632432333106,yerba mate classic gold can 12 oz guayaki,Beverage,12,$2.99
042608470137,blueberry  juice OG 32oz lakewood,Beverage,4,$14.89
033919000458,butterscotch beer single bottle flying cauldron,Beverage,31,$2.19
042608459057,pineapple pure juice OG 32oz lakewood,Beverage,1,$12.69
042608470083,cherry tart juice pure OG 32oz,Beverage,6,$12.99
076950204553,positive energy sweet tangerine tea 16 bags yogi,Beverage,6,$5.39
039278152005,oolong tea OG 100bags,Beverage,1,$8.49
618825150222,dandy blend 14.01oz,Beverage,2,$23.99
618825150147,dandy blend 25 singles box,Beverage,3,$10.89
618825150161,dandy blend single,Beverage,8,$0.59
042608432029,carrot juice pure OG 32oz,Beverage,6,$9.79
632432737775,yerba mate revel berry 15.5oz can guayaki,Beverage,9,$3.39
873024002004,Ener-C Orange pkt,Beverage,30,$0.69
042608125822,cranberry concentrate OG 12.5oz,Beverage,3,$17.49
845332045530,matcha tea spoon bamboo,Beverage,3,$3.99
026395841288,aloe vera juice whole leaf pf OG 128oz,Beverage,4,$27.99
812475012262,alo enrich pom cran 16.9oz,Beverage,3,$2.99
734027901605,ginger juice OG 5oz ginger people,Beverage,10,$6.49
033629125014,Ginseng Up ginger beer 12oz,Beverage,25,$2.29
632432757773,yerba mate enlighten mint can 15.5oz guayaki,Beverage,25,$3.39
042608125891,cherry tart concentrate OG 12.5oz,Beverage,14,$16.99
076950450561,throat comfort honey lemon tea OG 16 bags yogi caffeine free,Beverage,4,$5.39
854560005032,coffee dark chocolate mocha 8oz,Beverage,10,$2.79
074682103502,cranberry  juice 100% 32oz knudsen,Beverage,6,$11.99
795239800308,teeccino almond amaretto 11oz,Beverage,1,$16.99
097467045712,spirutein choc 2.1lbs nature's plus,Beverage,4,$45.99
032917002358,dandelion leaf & root tea 16bags traditional medicinals,Beverage,3,$6.69
856516002126,chia squeeze strawberry banana 3.5oz,Beverage,16,$2.19
819005011528,calm buddha 18 bags buddha tea,Beverage,4,$7.99
819005011795,4th chakra heart 18 bags buddha tea,Beverage,2,$8.99
819005011474,divine immunity 18 bags buddha tea,Beverage,2,$6.99
801541107612,psyllium husks OG canister 12oz organic india,Beverage,2,$21.99
819005010170,dandelion root tea 18 bags buddha tea,Beverage,6,$7.99
819005011788,third eye chakra tea 18 bags buddha tea,Beverage,3,$8.99
,ginseng panax single vial,Beverage,6,$0.79
819005011801,5th chakra 18 bags buddha tea,Beverage,1,$8.99
819005011818,crown chakra tea 18 bags buddha tea,Beverage,3,$8.99
819005011849,solar plexus chakra tea 18 bags buddha tea,Beverage,3,$8.99
819005011832,sacral chakra tea 18 bags buddha tea,Beverage,1,$8.99
618825150307,dandy blend OG 3.5oz,Beverage,8,$9.99
858045004299,macadamia milk unsweeted 32oz Milkadamia,Beverage,1,$4.80
801541500161,tulsi tea sweet rose 18bgs organic india,Beverage,5,$6.29
873024002028,Ener-C  raspberry pkt,Beverage,30,$0.69
853883003848,coconut water ginger lime turmeric 17.5oz c2o,Beverage,11,$3.59
722430001166,kombucha seasonal 16oz gt's,Beverage,19,$4.69
039278142204,green jasmine tea 20bags,Beverage,3,$3.39
039278192209,black tea OG 20 bags prince of peace,Beverage,4,$2.99
077208002341,water mountain valley sparkling 33.8oz/ liter,Beverage,10,$3.89
632432333205,yerba mate sparkling grapefruit ginger can 12oz guayaki,Beverage,17,$2.99
632432333304,yerba mate sparkling cranberry pomegranate can 12oz guayaki,Beverage,30,$2.99
039278030532,blood sugar tea 18 bags,Beverage,5,$6.39
039278030525,blood pressure tea 18 bags,Beverage,3,$6.99
819005014826,Japanese cherry blossom tea 18bags buddha tea,Beverage,1,$8.99
851107003155,kombucha seasonal 14oz brew dr.,Beverage,1,$3.99
851107003032,kombucha superberry 14oz brew dr,Beverage,8,$3.99
851107003070,kombucha love 14oz brew dr,Beverage,11,$3.99
849429003335,zero calorie grape soda can zevia,Beverage,16,$1.49
849429003304,zero calorie cream soda can,Beverage,10,$1.49
894773001605,zero calorie cherry cola soda can zevia,Beverage,12,$1.49
076950450363,green tea super antioxidant 16 bags yogi,Beverage,3,$5.39
722430160030,kombucha alive cider pu-erh root beer 16oz gt's,Beverage,3,$4.69
076950206489,honey chai turmeric vitality tea 16 bags yogi caffeine free,Beverage,13,$5.39
819005015076,CBD turmeric ginger tea buddha tea,Beverage,2,$19.99
819005015083,CBD chamomile blend tea buddha tea,Beverage,4,$19.99
819005015090,CBD mint tea buddha tea,Beverage,4,$19.99
819005015069,CBD matcha green tea buddha tea,Beverage,3,$19.99
819215020037,sparkling water lemon lime can waterloo,Beverage,29,$0.89
026395008841,aloe vera stomach formula pink label 2oz,Beverage,6,$2.19
042608470014,aloe inner leaf w/lemon OG 32 oz Lakewood,Beverage,8,$9.99
052603067515,coconut beverage unsweet original 32oz,Beverage,6,$4.50
090341200016,orange cream soda virgil's 12oz,Beverage,56,$2.19
632432708775,yerba mate bluephoria can 15.5oz guayaki,Beverage,26,$3.39
813026020132,supreme matcha tea 20 bags pukka,Beverage,4,$6.59
722430160023,kombucha alive ginger turmeric 16oz Gt's,Beverage,1,$4.69
860492001523,elderberry syrup sassy cinnamon 15.5 oz  health junkie,Beverage,4,$22.99
860492001516,elderberry syrup bold ginger 15.5 oz health junkie,Beverage,11,$22.99
628240202161,cat's claw bark tea OG 24bags celebration,Beverage,3,$7.99
628240201652,nettle leaf tea  OG 24bags celebration,Beverage,1,$7.39
819005010255,ginger root tea 18 bags buddha,Beverage,3,$6.99
077652084382,maple apple cider tea 18bags,Beverage,5,$4.99
077652083767,pumpkin spice decaf tea 18bags,Beverage,7,$4.99
077652084726,chai holiday tea 18bags,Beverage,1,$4.99
707082130327,chai concentrate slightly sweet 32oz oregon,Beverage,6,$6.79
744790356595,elderberry syrup cinnamon local 12oz sage village,Beverage,1,$21.99
733739042439,peppermint tea OG 24 bags NOW FOODS,Beverage,5,$5.99
733739059758,psyllium husk powder 12oz NOW FOODS,Beverage,3,$13.99
077652083132,breakfast in Paris tea 18ct stash,Beverage,6,$4.99
039278030549,cholesterol tea 18bags prince of peace,Beverage,1,$5.99
022014110704,apple juice honeycrisp OG 10oz,Beverage,12,$3.69
