Product Name,Category,Brand,Price,Quantity,Last Updated
Organic Bananas,Produce,Local Farm,1.99,50,2024-01-15
Organic Apples,Produce,Local Farm,3.49,35,2024-01-15
Organic Kale,Produce,Local Farm,3.99,18,2024-01-15
Organic Spinach,Produce,Local Farm,4.49,12,2024-01-15
Organic Carrots,Produce,Local Farm,2.99,40,2024-01-15
Organic Tomatoes,Produce,Local Farm,4.99,25,2024-01-15
Whole Wheat Bread,Bakery,Great Harvest,5.49,12,2024-01-15
Sourdough Bread,Bakery,Great Harvest,6.49,8,2024-01-15
Gluten-Free Bread,Bakery,Canyon Bakehouse,7.99,6,2024-01-15
Organic Whole Milk,Dairy,Organic Valley,6.99,24,2024-01-15
Organic 2% Milk,Dairy,Organic Valley,6.79,18,2024-01-15
Oat Milk,Dairy,Oatly,4.99,32,2024-01-15
Almond Milk,Dairy,Califia Farms,5.49,20,2024-01-15
Greek Yogurt,Dairy,Stonyfield,5.99,15,2024-01-15
Cheddar Cheese,Dairy,Organic Valley,7.49,10,2024-01-15
Organic Eggs,Dairy,Happy Hens,7.49,28,2024-01-15
Raw Almonds,Bulk,Bulk Bin,12.99,45,2024-01-15
Raw Cashews,Bulk,Bulk Bin,14.99,30,2024-01-15
Rolled Oats,Bulk,Bulk Bin,2.99,60,2024-01-15
Brown Rice,Bulk,Bulk Bin,2.49,55,2024-01-15
Quinoa,Bulk,Bulk Bin,6.99,25,2024-01-15
Black Beans,Bulk,Bulk Bin,2.29,40,2024-01-15
Lentils,Bulk,Bulk Bin,2.49,35,2024-01-15
Peanut Butter,Bulk,Bulk Bin,5.99,20,2024-01-15
Local Honey,Grocery,Kent Apiary,8.99,15,2024-01-15
Maple Syrup,Grocery,Coombs Family,12.99,10,2024-01-15
Olive Oil,Grocery,California Olive Ranch,14.99,8,2024-01-15
Coconut Oil,Grocery,Nutiva,9.99,12,2024-01-15
Apple Cider Vinegar,Grocery,Bragg,6.99,18,2024-01-15
Tamari Soy Sauce,Grocery,San-J,7.49,14,2024-01-15
Pasta Sauce,Grocery,Rao's,8.99,16,2024-01-15
Whole Wheat Pasta,Grocery,Bionaturae,4.49,22,2024-01-15
Veggie Burgers,Frozen,Beyond Meat,9.99,5,2024-01-15
Frozen Berries,Frozen,Cascadian Farm,6.99,15,2024-01-15
Frozen Vegetables,Frozen,Cascadian Farm,4.49,20,2024-01-15
Ice Cream,Frozen,Three Twins,7.99,3,2024-01-15
Vitamin D3,Supplements,Garden of Life,19.99,12,2024-01-15
Multivitamin,Supplements,Garden of Life,29.99,8,2024-01-15
Probiotic,Supplements,Renew Life,34.99,6,2024-01-15
Fish Oil,Supplements,Nordic Naturals,24.99,10,2024-01-15
Vitamin C,Supplements,NOW Foods,12.99,15,2024-01-15
Castile Soap,Body Care,Dr. Bronner's,11.99,25,2024-01-15
Hand Soap,Body Care,Mrs. Meyer's,4.99,30,2024-01-15
Shampoo,Body Care,Acure,9.99,18,2024-01-15
Conditioner,Body Care,Acure,9.99,16,2024-01-15
Lotion,Body Care,Alba Botanica,8.99,14,2024-01-15
Toothpaste,Body Care,Tom's of Maine,5.99,20,2024-01-15
Dish Soap,Household,Seventh Generation,4.49,22,2024-01-15
Laundry Detergent,Household,Seventh Generation,14.99,10,2024-01-15
All-Purpose Cleaner,Household,Method,4.99,18,2024-01-15
Paper Towels,Household,Seventh Generation,6.99,0,2024-01-15
