"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000000872","788832000084","","202998","","GladRags Night Pad 1 Color","2","$18.80","$9.40","$16.59","43.34%"
"210000000884","788832000022","","201286 / GD0004","","GladRags Day Pad 3 Colors","1","$19.20","$19.20","$31.99","39.98%"
"210000000900","782126009005","","","","Natracare Tampons W/App Super 16 ct.","4","$22.51","$5.63","$8.89","36.7%"
"210000000908","782126008008","","0639740","","Natracare Tampons Regular W/App 16pc","5","$28.22","$5.64","$8.79","35.79%"
"210000000936","738041111002","","LA0020","","Lumiram Chromalux Full Spectrum Lamp light Bulb 100","1","$6.83","$6.83","$9.19","25.68%"
"210000000940","770009010484","","0169862","","If You Care Large Baking Cups 2 1/2""","12","$21.72","$1.81","$2.79","35.13%"
"210000000944","770009250200","","0898726","","If You Care Aluminum Foil 30 sq. ft.","9","$63.63","$7.07","$7.99","11.51%"
"210000000948","770009120114","","","","If You Care Aluminum Foil 50 sq. ft.","8","$50.72","$6.34","$7.99","20.65%"
"210000000956","706173100096","","226402","","Natural Value Cellulose Sponges Kitchen","5","$11.05","$2.21","$3.39","34.81%"
"210000001032","830568000491","","217750","","Mate Factor Yerba Mate Bombilla","4","$23.00","$5.75","$8.89","35.32%"
"210000001060","053796103745","","213758","","RSVP Honey Spoon","2","$6.18","$3.09","$4.79","35.49%"
"210000001092","053796401599","","213737","","Charcoal Filters 2 ct. Compost","3","$20.07","$6.69","$10.39","35.61%"
"210000001132","724773911027","","6011","","Greener Things Tea Infuser/strainer Scissor (box)","6","$13.14","$2.19","$3.39","35.4%"
"210000001136","781723406804","","218856","","Tea Infuser Spoon Heart Scissor","3","$9.00","$3.00","$5.29","43.29%"
"210000001140","030734041628","","227969","","WOODEN HONEY DIPPER","5","$9.00","$1.80","$2.99","39.8%"
"210000001148","770009001116","","0175042","","If You Care Coffee Filters 8"" Basket","7","$21.91","$3.13","$4.89","35.99%"
"210000001156","831128000609","","0541797","","BioBag Dog Waste Bags","3","$13.02","$4.34","$6.59","34.14%"
"210000001218","706173020417","","Front226399","","Natural Value Paper Plates 9""","1","$3.74","$3.74","$4.19","10.74%"
"210000001230","018787766316","","DB0046","","Dr. Bronner's Sal Suds 16 oz.","4","$20.76","$5.19","$10.69","51.45%"
"210000001792","637226002091","","","","Prasad Wooden Incense Burner Ash catcher","4","$4.80","$1.20","$1.99","39.7%"
"210000001796","637226111144","","","","Prasad Celestial Champa Incense","4","$5.00","$1.25","$1.99","37.19%"
"210000001800","637226111212","","","","Prasad Celestial Myrrh Incense","3","$3.30","$1.10","$1.99","44.72%"
"210000001804","637226111151","","","","Prasad Celestial Frankincense Incense","12","$13.20","$1.10","$1.99","44.72%"
"210000001808","637226111175","","","","Prasad Celestial Jasmine Incense","13","$16.10","$1.24","$1.99","37.77%"
"210000001812","637226111328","","","","Prasad Celestial Lavender Incense","8","$9.70","$1.21","$1.99","39.07%"
"210000001816","637226111229","","","","Prasad Celestial Musk Incense","12","$14.10","$1.18","$1.99","40.95%"
"210000001824","637226111267","","","","Prasad Celestial Rose Incense","2","$2.20","$1.10","$1.99","44.72%"
"210000001828","637226111250","","","","Prasad Celestial Patchouli Incense","8","$9.70","$1.21","$1.99","39.07%"
"210000001832","637226111274","","","","Prasad Celestial Sandalwood Incense","9","$11.25","$1.25","$1.99","37.19%"
"210000001840","637226111304","","","","Prasad Celestial Ylang Ylang Incense","7","$8.60","$1.23","$1.99","38.26%"
"210000001856","032110120019","","","","Shoyeido Great Origin Incense","3","$5.10","$1.70","$2.89","41.18%"
"210000001864","032110123010","","","","Shoyeido Moss Garden Incense","2","$4.50","$2.25","$3.79","40.63%"
"210000001868","032110124017","","","","Shoyeido Kyoto Autumn Leaves Incense","6","$10.20","$1.70","$3.19","46.71%"
"210000001876","032110126011","","","","Shoyeido Kyoto Cherry Blossom Incense","12","$28.32","$2.36","$4.69","49.68%"
"210000001916","011013100212","","0286500","","Citrasolv Cleaner 8 oz","2","$17.68","$8.84","$13.69","35.43%"
"210000001932","018787766323","","DB0047","","Dr. Bronner's Sal Suds 32oz","7","$57.47","$8.21","$16.79","51.1%"
"210000001944","749174097002","","","","Ecos Dishmate Liquid Dish soap Almond 25oz","7","$25.82","$3.69","$5.79","36.29%"
"210000001960","732913221509","","","","Seventh Generation Auto Dish Detergent Powdered 45oz Pwdrd. Fr & Clr","5","$28.55","$5.71","$8.89","35.77%"
"210000005736","760702456450","","","","cotton crew blue denim 9-11 maggie's","1","$6.00","$6.00","$9.99","39.94%"
"210000005740","760702456467","","","","cotton crew blue denim LARGE maggie's","2","$10.90","$5.45","$9.99","45.45%"
"210000005744","760702559366","","","","cotton crew chocolate 10-13 maggie's","2","$10.00","$5.00","$9.99","49.95%"
"210000005812","760702480059","","","","footie white 9-11 maggie's","3","$11.58","$3.86","$7.99","51.69%"
"210000006368","050525555059","","8904234400082","","Sai Baba Nag Champa Incense (blue box)  100g","10","$84.80","$8.48","$12.29","31%"
"210000007752","781723500731","","222588","","Mini Tea Ball Stainless Steel","6","$14.94","$2.49","$3.89","35.99%"
"210000008041","857383002769","","857383002769","857383002769","Sunbeam Candles Beeswax Evergreen Tree","3","$33.00","$11.00","$18.00","38.89%"
"210000008119","637226111465","","","637222113326","Tibetan Healing Incense","4","$9.00","$2.25","$3.79","40.63%"
"210000008141","032110129012","","","","Shoyeido Incense White Cloud","1","$6.40","$6.40","$9.99","35.94%"
"210000008147","032110127018","","","","Shoyeido Incense Five Hills","7","$28.00","$4.00","$6.39","37.4%"
"210000009082","787436002500","","","","Native Scents Smudge Maya","1","$5.00","$5.00","$7.79","35.82%"
"210000009084","787436002654","","","","Native Scents Smudge Four Directions","1","$5.50","$5.50","$9.39","41.43%"
"210000009568","658915004561","","","","Shanthimalai Red Nag Champa Incense 15 grams","10","$14.70","$1.47","$2.39","38.49%"
"210000009592","032110125014","","","","Shoyeido Incense Golden Pavilion","5","$10.75","$2.15","$3.59","40.11%"
"210000009600","032110122013","","","","Shoyeido Incense Eternal Treasure","1","$1.60","$1.60","$2.69","40.52%"
"210000009724","782126001009","","","","Natracare Tampons regular 20 count","2","$9.42","$4.71","$7.49","37.12%"
"210000010000","724773107000","","6010","","Bamboo Tea Strainer","2","$4.12","$2.06","$3.19","35.42%"
"210000010002","781723222282","","6019","","Fill Your Own Heat  Sealable Tea Bags 40ct","5","$17.50","$3.50","$5.49","36.25%"
"210000010186","782126003102","","UNFI 0335026","","Natracare Ultra Pads Long w/Wings 10 ct.","2","$8.46","$4.23","$6.69","36.77%"
"210000010646","788832000039","","201287","","GladRags Day Pad Organic 1 ct","3","$29.07","$9.69","$16.99","42.97%"
"210000010712","760702289959","","","","wool killington mountain hiker bl MEDIUM maggie's","3","$38.19","$12.73","$21.99","42.11%"
"210000010716","760702285555","","","","wool killington mountain hiker olive 9-11 maggie's","2","$25.46","$12.73","$21.69","41.31%"
"210000010720","760702285562","","","","wool killington mountain hiker olive LARGE maggie's","7","$90.50","$12.93","$21.99","41.21%"
"210000010730","086085538607","","1357","","Golden Eagle Herbal Chew Wintergreen","1","$2.49","$2.49","$3.89","35.99%"
"210000011112","770009050046","","0714394","","If You Care Cheesecloth Cardboard PKG 2 sq. Yds","4","$14.00","$3.50","$5.39","35.06%"
"210000011174","856035001013","","","","Dead Sea Magic Minerals Bath Salts 5# Bucket","5","$110.46","$22.09","$32.59","32.21%"
"210000011554","770009250255","","0898809","","If You Care Waxed Paper 75sq. ft.","2","$9.10","$4.55","$7.39","38.43%"
"210000011850","760702452551","","","","cotton crew tie dye 9-11 medium maggie's","3","$24.78","$8.26","$15.99","48.34%"
"210000011928","738041110609","","LA0016","","Lumiram Chromalux 60W Light bulb","1","$5.28","$5.28","$8.89","40.61%"
"210000012610","717256000622","","","","Biokleen Liq. Laundry 64oz Citrus- cold water","5","$71.55","$14.31","$22.19","35.51%"
"210000012815","050525555035","","8904234400068","","Sai Baba Nag Champa Incense (40 gr)","7","$13.93","$1.99","$5.89","66.21%"
"210000013108","658915004516","","","","Shanthimalai Red Nag Champa  Incense 100 Grams","6","$39.48","$6.58","$10.69","38.45%"
"210000013570","897580001899","","","","Sunbeam Candles Tapers Red (1 Pair Hanging)","7","$43.75","$6.25","$10.29","39.26%"
"210000014162","760702407025","","","","leggings base layer black LARGE maggie's","4","$82.80","$20.70","$29.99","30.98%"
"210000014166","760702407018","","","","leggings base layer black MED maggie's","3","$45.90","$15.30","$27.99","45.34%"
"210000015308","894410001258","","","","World Centric Wheat straw Bowls","9","$15.30","$1.70","$2.99","43.14%"
"210000015312","894410001098","","","","World Centric Wheat straw Plates 9""","2","$5.84","$2.92","$4.49","34.97%"
"210000016686","787436002302","","","","Native Scents Smudge Sweetscense","2","$10.00","$5.00","$8.29","39.69%"
"210000017264","013964225549","","","","diatomaceous earth 4 lbs. lumino","2","$22.32","$11.16","$26.99","58.65%"
"210000017696","760702569853","","","","cotton crew bl 9-11 3pk maggies","3","$38.25","$12.75","$21.99","42.02%"
"210000018466","760702285500","","","","wool killington mountain hiker rasp socks 9-11 maggie's","2","$28.00","$14.00","$21.99","36.33%"
"210000018486","760702407032","","","","leggings base layer black XTRA LARGE maggie's","3","$45.90","$15.30","$27.99","45.34%"
"210000018574","5069129100201","","","","Small Swift-Lite/De Lites Charcoals","1","$1.00","$1.00","$1.99","49.75%"
"210000018764","","","","","Bulk Harmony Cone Ear Candles Beeswax","35","$58.10","$1.66","$2.99","44.48%"
"210000018784","732913227877","","","","Seventh Generation Fabric Softener Dryer Sheets Free & Clear","4","$25.00","$6.25","$9.69","35.5%"
"210000018962","781723970251","","213924","","Sushi Mat with Paddle","3","$6.90","$2.30","$3.99","42.36%"
"210000020012","760702559854","","","","cotton crew black 9-11 maggie's","3","$16.50","$5.50","$9.99","44.94%"
"210000020016","760702559861","","","","cotton crew black large 10-13 maggie's","3","$16.35","$5.45","$9.99","45.45%"
"210000020206","796515300741","","","","New Wave Enviro Shower Filter Silver","1","$20.99","$20.99","$32.99","36.37%"
"210000020550","770009011924","","","","If You Care Parchment Paper Sheets","1","$3.87","$3.87","$5.99","35.39%"
"210000020554","770009250293","","046079-0","","If You Care Latex Gloves Large","19","$67.89","$3.57","$5.89","39.34%"
"210000020558","770009250286","","","","If You Care Latex Gloves Medium","5","$15.75","$3.15","$5.29","40.45%"
