"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000001438","058449590583","","","","Natures Path GF Buckwheat Waffles","5","$15.30","$3.06","$4.99","38.68%"
"210000001556","095411001265","","","","Natural Choice Mango Fruit Bar Box","5","$20.50","$4.10","$5.79","29.19%"
"210000003250","833735000065","","","","Quorn Meatless Nuggets","15","$58.98","$3.93","$7.29","46.06%"
"210000003254","833735000201","","","","Quorn Chick'n Fillets- Naked","8","$40.40","$5.05","$7.59","33.47%"
"210000004158","042272000586","","","","Amy's Meal Mattar Paneer","4","$26.28","$6.57","$9.99","34.23%"
"210000004296","042563007805","","","","Woodstock Farms Edamame Shelled","8","$25.76","$3.22","$4.99","35.47%"
"210000004320","042272000715","","","","Amy's Burrito Bean & Rice  w/ Cheese","1","$0.01","$0.01","$4.59","99.78%"
"210000004328","042272002603","","","","Amy's Wrap Indian Samosa","11","$37.84","$3.44","$5.29","34.97%"
"210000008051","042563011079","","","","Woodstock Farms Baby French Beans","16","$51.52","$3.22","$4.99","35.47%"
"210000009068","025583074613","","","","Tofurky Roast 26oz","4","$41.68","$10.42","$19.99","47.87%"
"210000009076","833735000164","","","","Quorn Meatless Turk'y Roast","13","$109.85","$8.45","$12.99","34.95%"
"210000011304","042272000104","","","","Amy's Burger California","12","$74.16","$6.18","$9.59","35.56%"
"210000014096","025583004634","","","","Tofurky Feast","1","$27.40","$27.40","$39.99","31.48%"
"210000014272","842234000926","","","842234007161","Gardein Turk'y Stuffed","2","$13.12","$6.56","$10.29","36.25%"
"210000019336","042272014286","","","","Amy's Wrap Breakfast Scramble","4","$13.76","$3.44","$5.29","34.97%"
"210000020580","042272008018","","","","Amy's  Pizza  Vegan Margherita","3","$26.58","$8.86","$13.69","35.28%"
"210000027478","024284394112","","","","Sno Pac Mixed  Vegetables Org","3","$7.47","$2.49","$3.89","35.99%"
"210000027518","032601026080","","","","Earthbound Farm  Blueberries Org 2 lb","7","$68.60","$9.80","$15.29","35.91%"
