"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000001502","072609741851","","","","Alden's Ice Cream Vanilla Bean 48 oz","2","$20.12","$10.06","$13.99","28.09%"
"210000001510","072609741837","","","","Alden's Ice Cream Mint Chip 48 oz","4","$40.24","$10.06","$13.99","28.09%"
"210000001608","020188013012","","","","Tofutti Vanilla Cuties Box","7","$41.58","$5.94","$8.29","28.35%"
"210000004054","093966510522","","","","Organic Valley Half and Half 16 oz","6","$18.24","$3.04","$3.99","23.81%"
"210000004088","023547400010","","","","Miso Master  Miso Barley  16 oz","4","$46.52","$11.63","$17.59","33.88%"
"210000006324","033776011741","","033776445560","","Earth Balance Buttery Sticks 16oz","6","$28.86","$4.81","$7.99","39.8%"
"210000008684","093966211016","","","","Organic Valley Cream Cheese","37","$139.86","$3.78","$4.99","24.25%"
"210000008790","850034840017","","","","Cosmic Bliss Vanilla Bean  Pint ND","3","$17.25","$5.75","$7.99","28.04%"
"210000009464","645125423459","","","","Hartzler Chocolate Milk 1/2 gal","2","$9.92","$4.96","$6.99","29.04%"
"210000009610","049568020327","","","","Follow Your Heart Vegenaise Grapeseed 32 oz.","2","$18.76","$9.38","$13.29","29.42%"
"210000010356","030871000021","","","","Wildwood Super Firm Tofu 16 oz Org","15","$60.75","$4.05","$5.99","32.39%"
"210000011022","072609741813","","","","Alden's Ice Cream Chocolate Chocolate Chip 48 oz","4","$40.24","$10.06","$13.99","28.09%"
"210000011648","020188050253","","","","Tofutti Cream Cheese Non- Hydro","3","$9.39","$3.13","$4.99","37.27%"
"210000011656","020188060139","","","","Tofutti Sour Cream","10","$33.37","$3.34","$4.89","31.76%"
"210000016165","702230030337","","","","South River Miso 3 Year Barley","35","$379.75","$10.85","$15.99","32.15%"
"210000017900","043192315507","","","","Nancy's Cottage Cheese Org. Lowfat","11","$52.91","$4.81","$6.79","29.16%"
"210000018816","093966000283","","","","Organic Valley Cream Whipping 16 oz","7","$37.31","$5.33","$7.29","26.89%"
"210000019300","049568400129","","","","Follow your Heart Dressing Ranch Vegan","7","$29.75","$4.25","$5.99","29.05%"
"210000020336","702230010131","","","","South River  Miso Azuki 16 oz","17","$154.00","$9.06","$13.69","33.83%"
"210000021710","811355002577","","","","Rumiano Mozzarella Cheese Bar Org","17","$79.78","$4.69","$6.99","32.86%"
"210000022972","023547400454","","","","Miso Master Miso  Sweet  White LS","6","$57.12","$9.52","$14.99","36.49%"
"210000027236","050012102605","","","","Soy Boy Tofu Extra- firm 15oz","16","$49.60","$3.10","$3.49","11.17%"
"210000027334","702230010124","","","","South River  Miso Chickpea 16 oz","20","$179.80","$8.99","$13.69","34.33%"
"210000028388","610373039691","","","","Hartzler Paint Valley Goat Milk Qt exp 2/5/26","4","$15.56","$3.89","$4.20","7.38%"
"210000028697","043192316900","","","","Nancy's Cottage Cheese  Whole Milk Org","5","$24.05","$4.81","$6.79","29.16%"
"210000028892","049568160078","","","","Follow Your Heart  Mozzarella Shreds 7oz","3","$10.44","$3.48","$4.89","28.83%"
"210000029883","093966002034","","","","Organic Valley Cottage Cheese 4%","6","$34.56","$5.76","$8.19","29.67%"
"210000030561","754917900167","","Soy 00081","","Twin Oaks Tofu Org 1lb","8","$23.20","$2.90","$4.29","32.4%"
"210000031327","720167653139","","","","Wake Robin Sauerkraut Raw","12","$48.00","$4.00","$5.59","28.44%"
"210000031335","720167653078","","","","Wake Robin Kickin Kimchi Raw","12","$60.00","$5.00","$6.99","28.47%"
"210000031739","720167653061","","","","Wake Robin Pickle Chips Garlicky Dill","12","$50.04","$4.17","$5.89","29.2%"
"210000032855","767707001241","","","","Kerrygold  Aged Cheddar Irish Vintage","12","$58.44","$4.87","$6.89","29.32%"
"210000033845","665291001015","","","","Mt Vikos Cheese Feta","15","$82.95","$5.53","$7.69","28.09%"
"210000034545","814598020384","","","","Cultures for Health Vegan Yogurt Starter sell by 5/25/ ,10/25","1","$9.39","$9.39","$4.00","-134.75%"
"210000035731","767707001067","","","","Kerrygold  Butter Salted","15","$77.25","$5.15","$7.19","28.37%"
"210000036675","702230010117","","","","South River Sweet Brown Rice Miso16 oz","17","$154.00","$9.06","$13.69","33.83%"
"210000036849","767707001258","","","","Kerrygold  Butter Unsalted","20","$103.00","$5.15","$7.19","28.37%"
"210000036889","871459001364","","","","Daiya Non-Dairy Cheezecake New York Style","3","$15.39","$5.13","$6.99","26.61%"
"210000037485","850028051528","","","","Johnny Pops Bars Berry Burst Org","3","$13.05","$4.35","$6.99","37.77%"
"210000038873","855088005238","","","","Maple Hill Greek Yogurt Plain 16","5","$29.00","$5.80","$8.09","28.31%"
