"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Unit Cost","Sale Price","Margin"
"210000003470","733739033406","","","","prostate support 90 sgels NOW FOODS","1","$13.49","$13.49","$29.99","55.02%"
"210000003588","684088232357","","sovereign silver","","silver mist spray 10ppm 2oz","5","$36.15","$7.23","$14.99","51.77%"
"210000003596","684088232340","","sovereign silver","","silver vertical spray 10ppm 2oz","1","$7.23","$7.23","$14.99","51.77%"
"210000003604","684088232364","","sovereign silver","","silver dropper 10ppm 2oz","2","$14.18","$7.09","$14.99","52.7%"
"210000003976","097467030879","","","","multi adult's chew pineapple 90tbs nature's plus","2","$27.56","$13.78","$32.99","58.23%"
"210000004222","733739003652","","","","D 3 1000 IU 180sgls NOW FOODS","1","$4.04","$4.04","$8.99","55.06%"
"210000004226","733739003706","","","","D 3 liquid 2oz NOW FOODS","2","$9.98","$4.99","$9.99","50.05%"
"210000004374","041954000128","","","","orange C lozenges 15 loz zand","2","$5.50","$2.75","$4.49","38.75%"
"210000004416","726899590025","","","","chlorophyll 8oz","2","$11.88","$5.94","$11.99","50.46%"
"210000004666","741273013952","","Bach","","rescue remedy spray 20ml","1","$10.59","$10.59","$24.99","57.62%"
"210000004830","046352005195","","","","bentonite detox 16 fl oz","1","$8.01","$8.01","$16.29","50.83%"
"210000005060","033674148006","","","","marshmallow 445mg 100cps","3","$15.61","$5.20","$15.99","67.46%"
"210000005100","033674003503","","","","fenu thyme 450mg 100cps","1","$6.55","$6.55","$13.99","53.18%"
"210000005108","033674125007","","","","eyebright 100cps","3","$18.60","$6.20","$13.99","55.68%"
"210000005120","033674161005","","","","red raspberry leaves 480mg 100cps","2","$13.12","$6.56","$13.99","53.11%"
"210000005432","083000001253","","","","astragalus 1 oz","2","$14.46","$7.23","$16.99","57.45%"
"210000005436","083000005763","","","","black cohosh AF 1 oz","1","$7.22","$7.22","$16.99","57.5%"
"210000005484","083000003134","","","","ginger 1oz nature's answer","2","$14.46","$7.23","$16.99","57.45%"
"210000005488","083000006159","","","","feverfew AF 1oz","2","$12.76","$6.38","$14.99","57.44%"
"210000005496","083000006524","","","","pau d' arco inner bark 1oz","2","$14.46","$7.23","$16.99","57.45%"
"210000005500","083000006456","","","","milk thistle AF1 oz","1","$6.00","$6.00","$14.99","59.97%"
"210000005506","083000004049","","","","milk thistle 1 oz natures answer","2","$13.60","$6.80","$15.99","57.47%"
"210000005510","083000004124","","","","mullein 1 oz","3","$17.85","$5.95","$15.99","62.79%"
"210000005514","083000004544","","","","peppermint 1oz","1","$6.39","$6.39","$14.99","57.37%"
"210000005538","083000001963","","","","vitex 1 oz nature's answer","2","$12.22","$6.11","$13.99","56.33%"
"210000005888","759051050310","","","wellgenix","balanced essential liq. vit. 32oz wellgenix","1","$20.96","$20.96","$35.99","41.76%"
"210000005970","027917001135","","","","PB8 acidophilus 60cps veg","6","$42.24","$7.04","$16.99","58.56%"
"210000005974","027917003573","","","","PB8 acidophilus 120cps veg","4","$46.92","$11.73","$26.99","56.54%"
"210000006270","021078003298","","","","zinc amino acid chelate 50mg 100tbs","1","$4.49","$4.49","$9.99","55.06%"
"210000006272","354973325777","","","","Calms Forte Sleep Aid 100 tbs","1","$7.92","$7.92","$13.99","43.39%"
"210000006278","083000004247","","","","nettle 1oz","2","$13.60","$6.80","$15.99","57.47%"
"210000006282","083000003226","","","","ginseng american 1oz","2","$20.44","$10.22","$23.99","57.4%"
"210000006850","097467044609","","","","papaya enzyme 180tbs nature's plus","1","$4.98","$4.98","$12.49","60.13%"
